year,month,summer_like_ratio,winter_like_ratio,summer_like_percent,winter_like_percent
1907,10,0.0,0.0,0.0,0.0
1907,11,0.0,0.4,0.0,40.0
1907,12,0.0,1.0,0.0,100.0
1908,1,0.0,1.0,0.0,100.0
1908,2,0.0,0.9655172413793104,0.0,96.55172413793103
1908,3,0.0,0.7096774193548387,0.0,70.96774193548387
1908,4,0.0,0.0,0.0,0.0
1908,5,0.0,0.0,0.0,0.0
1908,6,0.6666666666666666,0.0,66.66666666666666,0.0
1908,7,1.0,0.0,100.0,0.0
1908,8,0.9354838709677419,0.0,93.54838709677419,0.0
1908,9,0.43333333333333335,0.0,43.333333333333336,0.0
1908,10,0.0,0.0,0.0,0.0
1908,11,0.0,0.6666666666666666,0.0,66.66666666666666
1908,12,0.0,1.0,0.0,100.0
1909,1,0.0,1.0,0.0,100.0
1909,2,0.0,1.0,0.0,100.0
1909,3,0.0,0.8387096774193549,0.0,83.87096774193549
1909,4,0.0,0.1,0.0,10.0
1909,5,0.06451612903225806,0.0,6.451612903225806,0.0
1909,6,0.6333333333333333,0.0,63.33333333333333,0.0
1909,7,0.967741935483871,0.0,96.7741935483871,0.0
1909,8,1.0,0.0,100.0,0.0
1909,9,0.5666666666666667,0.0,56.666666666666664,0.0
1909,10,0.0,0.03225806451612903,0.0,3.225806451612903
1909,11,0.0,0.36666666666666664,0.0,36.666666666666664
1909,12,0.0,0.967741935483871,0.0,96.7741935483871
1910,1,0.0,1.0,0.0,100.0
1910,2,0.0,1.0,0.0,100.0
1910,3,0.0,0.6774193548387096,0.0,67.74193548387096
1910,4,0.0,0.13333333333333333,0.0,13.333333333333334
1910,5,0.06451612903225806,0.0,6.451612903225806,0.0
1910,6,0.4666666666666667,0.0,46.666666666666664,0.0
1910,7,0.9354838709677419,0.0,93.54838709677419,0.0
1910,8,1.0,0.0,100.0,0.0
1910,9,0.3333333333333333,0.0,33.33333333333333,0.0
1910,10,0.0,0.0,0.0,0.0
1910,11,0.0,0.43333333333333335,0.0,43.333333333333336
1910,12,0.0,1.0,0.0,100.0
1911,1,0.0,0.967741935483871,0.0,96.7741935483871
1911,2,0.0,1.0,0.0,100.0
1911,3,0.0,0.5806451612903226,0.0,58.06451612903226
1911,4,0.0,0.0,0.0,0.0
1911,5,0.06451612903225806,0.0,6.451612903225806,0.0
1911,6,0.5666666666666667,0.0,56.666666666666664,0.0
1911,7,1.0,0.0,100.0,0.0
1911,8,1.0,0.0,100.0,0.0
1911,9,0.5666666666666667,0.0,56.666666666666664,0.0
1911,10,0.0,0.0,0.0,0.0
1911,11,0.0,0.4,0.0,40.0
1911,12,0.0,0.967741935483871,0.0,96.7741935483871
1912,1,0.0,1.0,0.0,100.0
1912,2,0.0,0.7931034482758621,0.0,79.3103448275862
1912,3,0.0,0.6451612903225806,0.0,64.51612903225806
1912,4,0.0,0.0,0.0,0.0
1912,5,0.03225806451612903,0.0,3.225806451612903,0.0
1912,6,0.7,0.0,70.0,0.0
1912,7,0.967741935483871,0.0,96.7741935483871,0.0
1912,8,0.967741935483871,0.0,96.7741935483871,0.0
1912,9,0.23333333333333334,0.0,23.333333333333332,0.0
1912,10,0.0,0.03225806451612903,0.0,3.225806451612903
1912,11,0.0,0.7666666666666667,0.0,76.66666666666667
1912,12,0.0,1.0,0.0,100.0
1913,1,0.0,1.0,0.0,100.0
1913,2,0.0,1.0,0.0,100.0
1913,3,0.0,0.7096774193548387,0.0,70.96774193548387
1913,4,0.0,0.0,0.0,0.0
1913,5,0.03225806451612903,0.0,3.225806451612903,0.0
1913,6,0.5666666666666667,0.0,56.666666666666664,0.0
1913,7,0.8709677419354839,0.0,87.09677419354838,0.0
1913,8,1.0,0.0,100.0,0.0
1913,9,0.3,0.0,30.0,0.0
1913,10,0.06451612903225806,0.0,6.451612903225806,0.0
1913,11,0.0,0.5,0.0,50.0
1913,12,0.0,0.967741935483871,0.0,96.7741935483871
1914,1,0.0,1.0,0.0,100.0
